family,n,instance,seed,m,law,method,p,ar,ceil,regret
ER(0.5),16,9,20262329,66,logn2.5,transfer_3,20,0.5603493630894741,0.7999632103424372,0.23961384725296309
ER(0.5),16,9,20262329,66,logn2.5,universal,20,0.621204608552405,0.7999632103424372,0.17875860179003222
ER(0.5),16,10,20262330,68,logn2.5,ceiling,10,0.8461173556828039,0.8461173556828039,0.0
ER(0.5),16,10,20262330,68,logn2.5,binned_exact,10,0.7883340172613166,0.8461173556828039,0.05778333842148731
ER(0.5),16,10,20262330,68,logn2.5,binned_sampled,10,0.7883340172613166,0.8461173556828039,0.05778333842148731
ER(0.5),16,10,20262330,68,logn2.5,transfer_1,10,0.8294783298621315,0.8461173556828039,0.016639025820672337
ER(0.5),16,10,20262330,68,logn2.5,transfer_2,10,0.7153040339739455,0.8461173556828039,0.1308133217088584
ER(0.5),16,10,20262330,68,logn2.5,transfer_3,10,0.6522245446692997,0.8461173556828039,0.1938928110135042
ER(0.5),16,10,20262330,68,logn2.5,universal,10,0.7326033419001945,0.8461173556828039,0.11351401378260939
ER(0.5),16,10,20262330,68,logn2.5,ceiling,20,0.8725885090880953,0.8725885090880953,0.0
ER(0.5),16,10,20262330,68,logn2.5,binned_exact,20,0.8217769948289819,0.8725885090880953,0.050811514259113344
ER(0.5),16,10,20262330,68,logn2.5,binned_sampled,20,0.8725885090880953,0.8725885090880953,0.0
ER(0.5),16,10,20262330,68,logn2.5,transfer_1,20,0.68324212127192,0.8725885090880953,0.1893463878161753
ER(0.5),16,10,20262330,68,logn2.5,transfer_2,20,0.8612902899139714,0.8725885090880953,0.01129821917412388
ER(0.5),16,10,20262330,68,logn2.5,transfer_3,20,0.5206189165698221,0.8725885090880953,0.3519695925182732
ER(0.5),16,10,20262330,68,logn2.5,universal,20,0.8120365396046083,0.8725885090880953,0.060551969483486956
