family,n,instance,seed,source_rep,p,ar_transfer,ar_ceiling,regret_transfer
ER(0.5),12,21,20271832,1,3,0.938035503106145,0.938035503106145,0.0
ER(0.5),12,21,20271832,2,1,0.8438434542733733,0.8438434542733733,0.0
ER(0.5),12,21,20271832,2,3,0.9306967474904261,0.938035503106145,0.00733875561571895
ER(0.5),12,21,20271832,3,1,0.8421492504319752,0.8438434542733733,0.0016942038413980676
ER(0.5),12,21,20271832,3,3,0.9346522005083662,0.938035503106145,0.003383302597778859
ER(0.5),12,22,20271833,1,1,0.8260739449115908,0.8272470952617033,0.0011731503501124507
ER(0.5),12,22,20271833,1,3,0.9098498956510472,0.9100196889790071,0.00016979332795985513
ER(0.5),12,22,20271833,2,1,0.8272470952617033,0.8272470952617033,0.0
ER(0.5),12,22,20271833,2,3,0.8977785149393296,0.9100196889790071,0.012241174039677505
ER(0.5),12,22,20271833,3,1,0.8260739449115908,0.8272470952617033,0.0011731503501124507
ER(0.5),12,22,20271833,3,3,0.9090752915265233,0.9100196889790071,0.0009443974524837584
ER(0.5),12,23,20271834,1,1,0.8249052473214337,0.8251931758394995,0.00028792851806580533
ER(0.5),12,23,20271834,1,3,0.91297455677095,0.91297455677095,0.0
ER(0.5),12,23,20271834,2,1,0.8251931758394995,0.8251931758394995,0.0
ER(0.5),12,23,20271834,2,3,0.9020815430450898,0.91297455677095,0.010893013725860157
ER(0.5),12,23,20271834,3,1,0.8249052473214337,0.8251931758394995,0.00028792851806580533
ER(0.5),12,23,20271834,3,3,0.9114161201676161,0.91297455677095,0.0015584366033338792
ER(0.5),12,24,20271835,1,1,0.8328922144713375,0.8339434035478438,0.0010511890765062537
ER(0.5),12,24,20271835,1,3,0.905037653405712,0.9090244073542654,0.003986753948553412
ER(0.5),12,24,20271835,2,1,0.8303433907474961,0.8339434035478438,0.0036000128003477183
ER(0.5),12,24,20271835,2,3,0.8797638432463055,0.9090244073542654,0.029260564107959852
ER(0.5),12,24,20271835,3,1,0.8328922144713375,0.8339434035478438,0.0010511890765062537
ER(0.5),12,24,20271835,3,3,0.9057804060181572,0.9090244073542654,0.0032440013361081377
ER(0.5),12,25,20271836,1,1,0.7692869693268627,0.7735666880312357,0.004279718704373048
ER(0.5),12,25,20271836,1,3,0.8702842353627317,0.8740596554588987,0.003775420096167048
ER(0.5),12,25,20271836,2,1,0.7724862771462306,0.7735666880312357,0.0010804108850051009
