family,n,instance,seed,m,gamma,beta,S,eta_exact,eta_sampled,relerr_eta,median_relerr_lambda
ER(0.5),14,2,20272013,50,0.2,0.15,5,2.6368659133031986,2.5900915182040136,0.017738632390522577,0.1150554640568346
ER(0.5),14,2,20272013,50,0.2,0.15,10,2.6368659133031986,2.6638307883466337,0.010226107784773996,0.06887423610671232
ER(0.5),14,2,20272013,50,0.2,0.15,25,2.6368659133031986,2.721865175065662,0.03223495792244705,0.0438624012537269
ER(0.5),14,2,20272013,50,0.4,0.3,2,4.378039309501953,4.8761375340144335,0.11377198542539904,0.09582025763242337
ER(0.5),14,2,20272013,50,0.4,0.3,5,4.378039309501953,4.401906074672201,0.00545147347545472,0.05223258225950824
ER(0.5),14,2,20272013,50,0.4,0.3,10,4.378039309501953,4.360335394103951,0.004043800008734017,0.03963148651666994
ER(0.5),14,2,20272013,50,0.4,0.3,25,4.378039309501953,4.3722423961322345,0.001324088926551488,0.018988348774845135
ER(0.5),14,2,20272013,50,0.8,0.6,2,5.3436041612326015,5.224928909494227,0.022208840355233204,0.08866941162285724
ER(0.5),14,2,20272013,50,0.8,0.6,5,5.3436041612326015,5.221314846570162,0.02288517468221883,0.04730121674502476
ER(0.5),14,2,20272013,50,0.8,0.6,10,5.3436041612326015,5.484199383155669,0.026310935032028426,0.028169960862891627
ER(0.5),14,2,20272013,50,0.8,0.6,25,5.3436041612326015,5.306843362597359,0.006879401528642224,0.03192164508621127
ER(0.5),12,3,20271814,35,0.2,0.15,2,1.9839463076799502,1.9552565117628438,0.014460973971950173,0.14847158612820974
ER(0.5),12,3,20271814,35,0.2,0.15,5,1.9839463076799502,2.0128310090696777,0.014559215276095674,0.12596147186474493
ER(0.5),12,3,20271814,35,0.2,0.15,10,1.9839463076799502,1.871335618571896,0.0567609560158624,0.07105173989948005
ER(0.5),12,3,20271814,35,0.2,0.15,25,1.9839463076799502,2.028421968478292,0.02241777442573646,0.04283904344455992
ER(0.5),12,3,20271814,35,0.2,0.15,0,1.9839463076799502,1.9839463076799506,2.23841344965321e-16,1.1003359767912404e-15
ER(0.5),12,3,20271814,35,0.4,0.3,2,3.378857122809676,3.18911766072898,0.05615492315428807,0.16395350498862013
ER(0.5),12,3,20271814,35,0.4,0.3,5,3.378857122809676,3.3449975647037506,0.010021009138666914,0.0415336316350704
ER(0.5),12,3,20271814,35,0.4,0.3,10,3.378857122809676,3.48385656304896,0.031075430662771582,0.0646837036075719
ER(0.5),12,3,20271814,35,0.4,0.3,25,3.378857122809676,3.350328169223454,0.008443373764943026,0.026291915948069868
ER(0.5),12,3,20271814,35,0.4,0.3,0,3.378857122809676,3.3788571228096766,1.3143178113455767e-16,7.961230616942029e-16
ER(0.5),12,3,20271814,35,0.8,0.6,2,4.30741536296196,4.714217155467618,0.0944422021622554,0.12440032473994588
ER(0.5),12,3,20271814,35,0.8,0.6,5,4.30741536296196,4.41182736257019,0.024240058320364,0.04365812100073153
ER(0.5),12,3,20271814,35,0.8,0.6,10,4.30741536296196,4.28786633847185,0.004538458180329108,0.04502482944030707
ER(0.5),12,3,20271814,35,0.8,0.6,25,4.30741536296196,4.3864792079648405,0.018355286950667567,0.021984075760924076
ER(0.5),12,3,20271814,35,0.8,0.6,0,4.30741536296196,4.307415362961963,8.247901303758887e-16,1.1598108150484647e-15
ER(0.5),14,3,20272014,47,0.2,0.15,2,2.5535785108286686,2.714244651694045,0.0629180345088501,0.2080140663070676
ER(0.5),14,3,20272014,47,0.2,0.15,5,2.5535785108286686,2.5730784184980946,0.007636306299859185,0.10361957165145924
ER(0.5),14,3,20272014,47,0.2,0.15,10,2.5535785108286686,2.6115323119153704,0.02269513188685749,0.07008438139346061
ER(0.5),14,3,20272014,47,0.2,0.15,25,2.5535785108286686,2.5201385556515468,0.013095330742844538,0.035426451170830375
