family,n,inst,p,ceiling,kind,regret_raw,regret_norm
WS(k=4;b=0.1),14,2,3,0.898132,exact,0.098635,0.030163
WS(k=4;b=0.1),14,2,3,0.898132,samp10,0.079829,0.042924
WS(k=4;b=0.1),14,2,3,0.898132,poly,0.309165,0.04321
WS(k=4;b=0.1),14,3,1,0.86946,exact,0.032196,0.027458
WS(k=4;b=0.1),14,3,1,0.86946,samp10,0.032196,0.008387
WS(k=4;b=0.1),14,3,1,0.86946,poly,0.269417,0.031652
WS(k=4;b=0.1),14,3,3,0.935156,exact,0.067121,0.003244
WS(k=4;b=0.1),14,3,3,0.935156,samp10,0.055836,0.002031
WS(k=4;b=0.1),14,3,3,0.935156,poly,0.325257,0.01374
WS(k=4;b=0.1),14,4,1,0.793848,exact,0.031295,0.024624
WS(k=4;b=0.1),14,4,1,0.793848,samp10,0.03873,0.011494
WS(k=4;b=0.1),14,4,1,0.793848,poly,0.12338,0.016277
WS(k=4;b=0.1),14,4,3,0.88745,exact,0.094078,0.023256
WS(k=4;b=0.1),14,4,3,0.88745,samp10,0.086942,0.043833
WS(k=4;b=0.1),14,4,3,0.88745,poly,0.289912,0.064085
WS(k=4;b=0.1),14,5,1,0.835038,exact,0.029542,0.046115
WS(k=4;b=0.1),14,5,1,0.835038,samp10,0.029542,0.022731
WS(k=4;b=0.1),14,5,1,0.835038,poly,0.168371,0.003439
WS(k=4;b=0.1),14,5,3,0.918739,exact,0.084977,0.022293
WS(k=4;b=0.1),14,5,3,0.918739,samp10,0.084977,0.011607
WS(k=4;b=0.1),14,5,3,0.918739,poly,0.393805,0.019655
WS(k=4;b=0.5),14,1,1,0.832776,exact,0.033475,0.039122
WS(k=4;b=0.5),14,1,1,0.832776,samp10,0.054808,0.010546
WS(k=4;b=0.5),14,1,1,0.832776,poly,0.03755,0.008596
WS(k=4;b=0.5),14,1,3,0.915162,exact,0.081852,0.02698
WS(k=4;b=0.5),14,1,3,0.915162,samp10,0.120046,0.011224
WS(k=4;b=0.5),14,1,3,0.915162,poly,0.30591,0.023906
WS(k=4;b=0.5),14,2,1,0.802868,exact,0.037224,0.057713
WS(k=4;b=0.5),14,2,1,0.802868,samp10,0.018198,0.019809
WS(k=4;b=0.5),14,2,1,0.802868,poly,0.096509,0.007353
WS(k=4;b=0.5),14,2,3,0.902952,exact,0.099532,0.086297
WS(k=4;b=0.5),14,2,3,0.902952,samp10,0.078775,0.031625
WS(k=4;b=0.5),14,2,3,0.902952,poly,0.260553,0.068204
WS(k=4;b=0.5),14,3,1,0.830932,exact,0.032765,0.044429
WS(k=4;b=0.5),14,3,1,0.830932,samp10,0.004168,0.05504
