family,n,instance,seed,ramp,g1,gf,b1,bf,layer,leakage,cum_leakage,distance,overlap,compressed_norm
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,19,0.08244940339366284,0.6489782051500557,0.1992742463475303,0.9650100442658405,0.9840971906112521
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,20,0.09626402629262912,0.7452422314426848,0.21606920839764018,0.9575467946638865,0.9793776175770471
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,1,0.007977107038305616,0.007977107038305616,0.007977107038305616,0.9999363657633152,0.9999681823754698
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,2,0.01956951150512619,0.027546618543431805,0.025927216137965912,0.9994405913646585,0.999776675054359
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,3,0.017224982693242682,0.044771601236674494,0.039150877125233165,0.9988619877546995,0.999628280889433
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,4,0.00418850976416621,0.0489601110008407,0.041651681539104125,0.9987521968961497,0.9996195057820362
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,5,0.011858795968645686,0.060818906969486386,0.0450740933406245,0.9985334268546832,0.9995491610211542
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,6,0.02595151424318962,0.086770421212676,0.06484106888769058,0.9971103998986653,0.9992122117981626
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,7,0.03383785292218687,0.12060827413486287,0.08949862395188947,0.9946351268892331,0.9986390959281501
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,8,0.0289298999641551,0.14953817409901798,0.10232996176472127,0.9929878931027364,0.9982199681454248
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,9,0.014263743325021226,0.1638019174240392,0.10058945748426197,0.9930645389288371,0.9981180543555996
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,10,0.018778009909018945,0.18257992733305817,0.09601768761497803,0.9933361707553164,0.9979413994691596
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,11,0.039498168694732945,0.2220780960277911,0.10457379586020372,0.9916970710852993,0.9971594313068644
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,12,0.056493151473737624,0.27857124750152873,0.12388111705398823,0.9878997612260124,0.9955578613424702
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,13,0.06620763813359337,0.3447788856351221,0.1415201137262698,0.9833856870393505,0.9933539167555364
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,14,0.06843509767582114,0.4132139833109432,0.1543520146390527,0.9791812489451035,0.9909937645311745
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,15,0.06608764996626013,0.4793016332772034,0.16822630615798104,0.9748004166459672,0.9887876738014102
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,16,0.06495582304535998,0.5442574563225633,0.18859807522814748,0.9691143331137178,0.9866518154415481
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,17,0.07050909909864546,0.6147665554212087,0.2135524082562628,0.9617540422625246,0.9841291946987416
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,18,0.0830060902458639,0.6977726456670726,0.23743159077409393,0.9532962275090522,0.980622384427608
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,19,0.09844772134326281,0.7962203670103355,0.2578038598468188,0.9442279174113484,0.9756681336411502
3-regular,16,4,20332216,small,0.1,0.4,0.4,0.1,20,0.1126782018168231,0.9088985688271586,0.2773600063011983,0.9341657409161451,0.9691397885950876
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,1,0.006075780467392775,0.006075780467392775,0.006075780467392775,0.9999630848917137,0.999981542275513
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,2,0.015224320611889042,0.02130010107928182,0.019739860546598004,0.9996708220798571,0.9998656434509694
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,3,0.013985259097460173,0.03528536017674199,0.03003103309340746,0.9993169405308558,0.9997678317897605
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,4,0.003934755009539257,0.03922011518628125,0.03238018506763055,0.9992359003579663,0.9997600888136181
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,5,0.009290967286754196,0.04851108247303544,0.035418092936658783,0.9990897359337492,0.9997169164876076
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,6,0.020278651728876725,0.06878973420191217,0.05085594419737562,0.998218196716335,0.9995112252473953
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,7,0.026288311440436186,0.09507804564234835,0.06978551793439614,0.9967308571890537,0.9991654588090801
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,8,0.022484193149844327,0.11756223879219269,0.0793175622457329,0.9957682910871122,0.9989124461811252
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,9,0.010692318857627487,0.12825455764982016,0.07767256386923414,0.995840946004519,0.9988552194652667
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,10,0.014209259767271864,0.14246381741709202,0.07483119448672373,0.9959559471860303,0.9987541471202365
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,11,0.030708524815480042,0.17317234223257205,0.08361757006030814,0.9947878525239258,0.998281940582683
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,12,0.043657839076926566,0.2168301813094986,0.10171907068310934,0.99215836744752,0.9973268400984011
